question,answer
My wife and I have a great relationship except for our sex lives We are pretty transparent and honest and basically she feels bad because she never wants to have sex She doesnt have the desire Shes also never orgasmed She feels like a terrible wife and fears Ill cheat on her She doesnt know why Last time we had sex she cried and felt bad and didnt know why she cried However she also told me that the last time we had sex she felt me in her but it just felt ehh and wanted to stop That makes me feel really awful We rarely have foreplay Everything I try tickles her so she makes me stop We are both frustrated but very much in love She and I are in our early 20s Were married and we have a baby on the way, I suggest seeking the support of an a hrefhttpswwwaasectorgreferraldirectoryAASECT certified sex therapistanbspto help work through much of the issues you address you simply may need some really qualified support Also you might be interested in watching a hrefhttpswwwtedcomtalksestherperelthesecrettodesireinalongtermrelationshiplanguageenEsther Perels ted talk on the secret to desire in a long term relationshipa andornbspyou might want to sign up for my own a hrefhttpconnectfulnessleadpagescorps targetblank8partseries on Reconnecting Parent Couplesa 
Im a young adult woman and I have trouble finding my true identity being at home This all started when I had a boyfriend about 10 months ago My boyfriend and I were dating for a couple months and decided to get in to sexual acts At the time I was pretty religious but I let this happen I dont know why I felt kind of guilty but mostly because I know my parents wouldnt like it My parents are very religioustheyre Christians We did things every time hed come over to my house We didnt have anything to do at our house so we would get tempted to do things when wed watch movies by ourselves    One day my parents found out I did this stuff with him because my dad read my messages As soon as my dad found this out he told my mom They were both aggravated They told me he was just a boy that wanted to get inside my pants They said he wanted me for sex and hes not a Christian I took their advice and broke up with him Once we broke up for about a month I decided to get back together with him a little after school started My parents found out eventually and I decided to not listen this time I would constantly talk to my boyfriend about what they say about him hows hes not the right one for me and God totally forbids him I would kind of try to break up with him and then eventually I would just never listen to my parents Theyre always yelling at me about how I shouldnt date this boy I felt too old to listen to them Now Im kind of just stuck Is the real me religious Have I been brainwashed by him I dont talk to my parents anymore about him and my parents think Im deceiving because of it They threatened me that if Im still with him I cant do track and they wont support me Theyve also called me slut and now they called me basically a devil worshipper They say my boyfriend is taking me away from my parents Im actually very happy with him They also say Im living a separate life at home than I am at school They say they want whats best for me and love me because they adopted me, What a tough situation you must be in feeling torn between your parents and someone who is very special to you I would say the first thing you want to do isnbspif you havent already have a calm reciprocal conversation with your parents telling them how you feel and lettingnbspthem know what you need from them If communication attempts are unsucessful then you will need to make a decision with how you would like to move forward You unfortunately will not be able to change your parents feelings or opinions but you can agree to disagree on certain matters by keeping them separate from thenbsprelationship you have with your parents It always helps to try and see things from another angle You might want to for example try and understand your parents perspectives and let them know you understand that they are upset Validating others feelings can be very helpful with communicating effectively   Are you living with your parents and do they support you If so are you willing to give that up should you decide to not follownbsptheir rules Know that there is nothing wrong with being happy with someone or loving somebody so deeply Your feelings and actions certainly do not make you brainwashed or a devil worshippernbspNot everyone will always approve of the choicesnbspwe make and sometimes we need to be okay with that Best of luck to youbr 
My partner and I have had an amazing relationship and connection for over two years Were very committed to each other and are planning a very long life together However he recently was very open and honest that he isnt interested in having sex with me anymore He says this has happened in every past relationships and has ended it as a result He knows its because its the same person feeling but how can he get over this, I wonder how long anymore will be for your boyfriend  Since you both are planning a long life together instead of his custom of ending relationships when he feels bored with the sex he will be facing the situation of being in a relationship and not having sex with his partner to whom he is committed  span stylewebkittextsizeadjust 100What are your own views on the meaning of sex in a relationshipspanbr  span stylewebkittextsizeadjust 100Knowing this will help you be better able to collaborate with your boyfriend on finding ways of balancing what you each would likespan  br 
Something happened this summer that I cannot forgive myself for When I think about what happened I feel ashamed and guilty even though my loved ones forgave me, Hi Ohio I totally get how it can be more difficult to forgive ourselves than to forgive others My guess is that you tend to come down too hard on yourself a lot Thats a huge barrier to happiness that you can work to reduce Ill get you started  You feel shame in a debilitating way that is probably way out of proportion to the incident Is it triggering some old shamenbspUnfortunately a lot of adults use shame as a motivator for kids It doesnt work Whennbspwas the first time you remember feeling a lot of shame as in Im bad ornbspIm worthless Is there a younger version of you who is still feeling shame over something that wasnt your fault Sometimes shame shadows are connected to an absent or hurtful parent sexual abuse or some family loss or traumanbsp  If so picture yourself at that age Can you tell your child self that whatever horrible thing happened to them isnt their fault Can you have compassion for that child who first felt shame or had shame heaped on themnbspspan stylelineheight 142857Thats your first goalto go to the source of the shame and heal that childs wound with compassion What happens to children is never their fault and fault is a pretty useless concept anywayspan  span stylelineheight 142857Once you take the layers of old Im bad shame off the load is lighter and you can use self talk to further reduce the shame Here are some things you can say to yourselfevery dayspan ullispan stylelineheight 142857Im human and thats okay I dont have to be perfectspanlilispan stylelineheight 142857I can have compassion for my mistakesspanlilispan stylelineheight 142857I can feel proud that Im facing my mistake and making things rightspanlilispan stylelineheight 142857I deserve forgiveness and compassion and I have that for other people toospanlilispan stylelineheight 142857Theres no purpose to holding on to shamespanlilispan stylelineheight 142857I can learn from my mistakes and move forwardspanlilispan stylelineheight 142857Everyone makes mistakesspanlilispan stylelineheight 142857Other people dont want me to carry this shame aroundspanlilispan stylelineheight 142857I dont need shame to remind me not to do it again Ive figured that outspanliuldivShame tries to convince you that you need to carry it around in order to prevent further mistakes Poppycock nbspYouve learned your lesson now you can move forward to other mistakes Sorrybut youre human and youll keeping making hopefully different glorious mistakes Embrace the learning Lean into the experiences of life Its all juicy stuff and youre in good company were all in the same position of being mortaldivdivbrdiv br 
How can I know if Im just being paranoid, Hi Texas  Oh thats a powerful idea isnt it It burrows into your head Lets figure this out First has your partner given you any concrete reason not to trust them Have they cheated before If not then they deserve the benefit of the doubt until there is evidence If its a yes then its natural that these fears would be triggered and you can simply let your partner know what triggers the fear and what you need When you refuse to let me see your phone I worry that youre hiding something I need openness If they havent cheated on you in the past there are three possible scenarios here I invite you to take a moment and write down what the evidence is that cheating is going on What is the specific thing thats triggering your fears When you have your data recorded read on  The first scenario is that you have been personally hurt in the past by someone else and youve developed fears that you will be hurt again or that youre not enough to keep someone interested this is just fearpeople cheat for their own reasons not because were not interesting This may be true if what you wrote down is They didnt really do anything wrongthere is no evidence Im just scared and suspicious Thats a cue to do some self reflection and calm yourself with thoughts like nothing has really happened I can trust  If what you wrote down was vague evidence like for example your partner has been distant or irritable or youre having less sex than usual you can try to approach the situation without making assumptions Trust your gut but your gut isnt seeing evidence of cheatingits evidence of something Ask your partner whats up with accusations or assumptions  The third possibility is that there is some clear evidence that they are cheating Maybe there are texts on a phone or someone has told you something they saw Id say when there is some evidence its okay to present this to your partner and ask whats going on If this happens repeatedly and your gut is screaming and there are only excuses or explanations that dont make sense then its okay to do a bit of research and be extra aware of whats going on around younbsp  I hope that helpsnbsp 
I am divorced and happily remarried Our blended family of children are in their 20s My youngest age 20 continues to call me crazy and favors her dad He was abusive to me and I left with injuries He never wanted kids and I did He paid child support only through forced wage earners Now my daughters favor him after all the sacrifices I made for them the past 15 years as a single mom I dont deny them a relationship with their dad but to be called crazy and then watch them hang out with him hurts me to the very core Im not sure how to handle this, It sounds really difficult to know that your daughter may be choosing her dad over you perhaps I can help by saying her intense emotional reactions towards you actually acknowledge how much safer and connected she feels towards you We tend to have big emotions around those we care for most I would suggest to let her know how hard it is to hear that and sad it make you feel at times and that this is hard for everyone Expressing your feelings to here will allow her to express hers toonbsp  br 
I have bipolar II disorder Im addicted to alcohol and weed and Im hopeless I keep drinking even though its harming myself and others, This relationship with your step dad sounds very challenging It is hard to to be told over and over again how not good enough we are Let me offer you this frequently when we say harsh mean nasty things to others we are simply projecting our own thoughts about ourself I am not advocating that this is ok it seems like your stepdad could also use some support You get to make your own empowered choice around this this is your life and if you find yourself in a situation that does not suit you make a changenbsp 
Ive been struggling with it for a test and Im starting to believe its something mental What could it be, Hello in Jacksonvillenbsp  span stylelineheight 142857It sounds like you are struggling with motivation to either take or study for a test nbspThere could be several different causes nbspIf you were being seen at my spana hrefhttpwwwcounselfloridacomServiceshtml targetblank stylelineheight 142857 backgroundcolor rgb255 255 255practiceaspan stylelineheight 142857 I would ask you to describe your selftalk when engaging in these activities during the different phases ie in beginning after a few days and after few weeks nbspNegative selftalk leads to increased disinterest and eventually tasks not being completed nbspIt is great that you recognize that you have the tendency to not complete tasks that you start nbspSome questions that would be great to explore with a therapist arespanbr ullinbsphow often you start and stop tasks without completing themlilihow you are feeling when you choose to start stop a projecttasklilihow many tasks do you complete nbspSometimes we need to recognize list our accomplishments so that they do not go unnoticed nbspnbspliliDo you ever feel like you are working against yourselfliul A licensed a hrefhttpwwwcounselfloridacomcounselor in Jacksonvillea will be able to asses you and rule out or diagnose selfsabotaging depression anxiety or other possible contributing factors nbsp  span stylefontstyle italic fontweight boldRemember to continue to provide yourself daily motivation and encouragement towards your goalsspan  span stylefontstyle italicbrspan  br  br 
I have bipolar II disorder Im addicted to alcohol and weed and Im hopeless I keep drinking even though its harming myself and others, Anyone who wants to change their life path eventually will be successful in this nbsp  How to stop abusing alcohol involves a few steps most of them time consuming with slow progress and very often with tremendous emotional pain  The basic path is to figure out what motivates you to drink too much and be addicted to weed nbspAlmost always addictions are rooted in the person having suffered feeling deeply ignored humiliated shamed invisible nothing very pleasant since a very young age usually starting around 18 months  Most often addicts are sensitive people who have been emotionally overburdened by the grownups in their family  With no outlet for emotional expression or nurturing the frustration goes inward until the emotional pain feels very big and without an outlet  So people mask and numb by substances whether this is food chocolate work alcohol weed  Therapy that is humanistic based is a better fit than one which is drug oriented and diagnosis oriented  If youd like getting serious about knowing who you are including any unfair treatment of you during your growing up years you can do this  Once you have a stronger selfrespect and awareness you would naturally avoid substances because they harm people nbspHarming oneself is the opposite of selfrespect  br  Also about your diagnosis it may not be true at all nbspthe US healthcare system loves selling drugs to people and clinicians in agencies and clinics are encouraged to find something wrong with people in order to find a new customer who will take drugs  See if you can find a therapist who is independent minded and therefore free to interact therapeutically with you as a human being not as a potential customer if they are able to label you as having something wrong  This simply continues the long line of being shamed by others that created the addiction problem in the first place  Good luck 
My boyfriend is seeking therapy He is in his 40s and has some childhood issues He has kids from his previous exwife and is unable to see them, Probably the more important questions to answer concern how much confidence you have in you and your boyfriend becoming parents how you each feel about the influence of his being banned from seeing his current children and be clear about the circumstances that led up to the decision of him not being permitted to see his kids  Dont allow some random professional to pronounce your boyfriend as cured nbspA relatively qualified therapist would never make this call  Psychological and emotional tensions emerge from our relationships within families nbspYou and your boyfriend are in a position to set a strong foundation for having children assuming each of you wants children  Childhood issues your boyfriends anyones are more likely to go away when new patterns of interacting emerge  If the two of you are engaged in setting a secure relationship as future parents the disappointments and hurt from the very early years will be replaced by better ways of interacting  br 
I have severe anxiety and have tried everything Everything makes it worstThe only thing that helps is my emotional support animal, Sorry to read of your suffering  Is it actually permitted that people are able to take support animals to school  I see your point of the animal helping you nbspI just also see the point that some people have allergies to animal hair or dander or may feel distracted by an animal in the classroom  You may end up feeling worse if when you bring your support animal to school that it disturbs people or interferes with the routines of the class  For your anxiety I suggest some loving kindness toward yourself nbspBe patient with yourself and that you have anxiety nbspIf youre able to accept that some situations create great discomfort for you maybe youll tolerate these difficult situation  Embrace your anxiety as part of you basically rather than trying to banish it which because it actually is part of you is impossible to achieve  In a way Im suggesting you become your own support animal nbspLove yourself be kind to yourself and see if you feel a little less stressed in school 
My husband has had issues with alcohol addiction in the past hed never admit to this A while back 3 years ago I asked him to stop drinking so much and he agreed I caught him one night drinking behind my back I confronted him and he lied but I told him I knew he was lying because I counted the beers in the fridge and four of them were missing He admitted and apologized and promised he wouldnt do it again Lately my husband has been drinking on and off but I noticed it was every single night I didnt like this For our New Years resolution we decided we were going to limit our alcohol consumption He was on boardno more drinking every night  The other night I counted the beers in the fridge just to see if some were missing It took a couple of days but tonight I discovered a few were missing along with a shot of vodka He was passed out on the couch when I decided to wake him up and confront him poor timing but I couldnt wait I asked him if hed come to bed with me when he drinks he snores and I cannot sleepits a dead giveaway hes been drinking He slurred a bit and said no I asked if he had been drinking but he snapped and said no I went into our room to sleep leaving him on the couch   Im not sure if Im overreacting or not I just feel like Im so honest with him about everything and I expect the same honesty He is a good husband in every other regard, Hi Los Angeles  So your husband is giving you mixed messages He says hes willing to cut back on the drinking but he drinks and hides it His behaviour is passive aggressive and immature which puts you into this position of having to act like a disapproving parent It sounds more like youre talking about an outofcontrol teenager than your partnernbsp  Your husbands lying is sending a message I get to make my own decisions and you cant stop me might be it Underneath that maybe its I want to stop but Im ashamed that I cant and I dont want you to see my failures Ultimately as an adult he gets to decide what he puts in his mouth and if you try to manage that by monitoring how many beers he has you are pretty certain to get some fallout pushbackbacklash nbsp  How does his drinking affect you Thats where your voice has power rather than in counting his beers or setting him up to lie when hes passed out asking if hes been drinking seems confusing Youve mentioned snoring which I guess is a legitimate complaint If hes passing out thats a legitimate complaint When he drinks does he drive act aggressively or check out of the relationship avoid you All of these things are legitimate concerns and Id stick to talking about those rather than counting beers My guess is he has few other ways to cope with stress so he checks out with alcohol and it also helps him avoid your relationship But the problem is it makes it worse the more he avoids you then more you chase him with your questions  Theres a conversation that would be helpful here nbspIt sounds like Ive tried to support you in your drinking less and its not working What are your goals for alcohol and how can I support you in that more effectively Id like to see you in a place where youre not micromanaging his drinking but focusing on the things that affect you What concrete supportive methods can you use with his agreement Can we get the alcohol out of the house Is he willing to seek treatmentnbsp  Lay your expectations out really clearly I wont count your beers but I cant tolerate lying You have to decide whats more important is it really the number of beers or is it something else What do you need to happen in order to want to remain in the marriage What does he need Does he let you know what isnt okay with him He might have trouble saying these thingsnbsp  The drinking is only a part of the complex dynamic in your marriage A qualified therapist can assist in pulling this apart understanding it and changing the way you relate to each othernbsp 
I am divorced and happily remarried Our blended family of children are in their 20s My youngest age 20 continues to call me crazy and favors her dad He was abusive to me and I left with injuries He never wanted kids and I did He paid child support only through forced wage earners Now my daughters favor him after all the sacrifices I made for them the past 15 years as a single mom I dont deny them a relationship with their dad but to be called crazy and then watch them hang out with him hurts me to the very core Im not sure how to handle this, Hi Arkansasnbsp  Your situation sounds like a case of parental alienation Your expartner unfortunately has the power to say things to your children that poison their relationship with you Its a form of woman abuse and child abuse Hes likely doing this to hurt you and have power over you and hes not considering how its affecting the kids Ive seen this happen in many families parents who once had a strong loving relationship with their children suddenly feel abandoned in favor of the other parent In some cases children actually stop having contact with one parent who is left bewildered and powerless Its your exs job to support your relationship with your kids not try to destroy itnbsp  While you cant change his behaviours and I think you know that there are things you can do for yourself and your kidsnbsp  For your children you can refuse to enter into the war hes setting up Hes trying to provoke you into acting crazy but you dont have to fall for this If you run around screaming hes lying it only makes you look more crazy Try to stay calm and dont put their dad down to them no matter how tempting it is One day they may be ready to hear the truth of your relationship with their father but wait until they ask Trust that they have their own experience of their dad and trust that he doesnt have the power to destroy their love for you Children in the long term lose respect for parents who denigrate the other parent They see who their dad is already Id bet but they dont know how to cope with that If hes the only one fighting a war youre helping them feel less trapped in a parental conflict Dont engage on his levelnbsp  Dont blame your children completely Although I have to say that for them to call you names like crazy is not acceptable and you dont need to tolerate that disrespect try to deal with this behaviour without bringing their dad into it They are acting out their fathers agenda likely because they instinctively see his weakness Children often support the weaker parent rather than abandon them You get the worst because they trust your love But you can still have boundaries Letting them abuse you isnt the answer but have compassion for their position This picture isnt their fault but as adults they can be held accountable for their choices  Reassure yourself that you are the mom you know you are You dont need them to gush all over you in order to know that you made sacrifices Hold onto the likelihood that some day they will come back and be grateful It may take a while you cant rush it but they will see you for who you are Your power is in giving them a consistently calm generous connected supportive mom who refuses to play games or be walked onnbsp  Id recommend trying to connect with other parents who experience this phenomenon or a therapist who can reinforce these goals and help keep you grounded Good luck  br 
Im in my late 20s and Ive never had a boyfriend or even been on a date I have no friends I hate Facebook because everyone else has kids and a great husband and great paying jobs I work in retail and I cant find a job I have an Associate degree No one is not giving me a chance and Im getting upset and frustrated I feel worthless and feel like everyone hates me I feel like a failure and I still live with my Dad Its very embarrassing, In case knowing this helps you there are many more people in similar circumstance as you than you may realize  Similar to you they are not on FB for the reasons you list nbspPlus no one wants to go on FB and tell the world they dont have a fantastic life nbspEveryone on FB is happy even when theyre miserable theyre happy telling everyone about it  First yes it is painful to see all around you what appears as joyful living nbspPlease keep in mind that the life you imagine these people have is not necessarily the true life they are having nbspIve been a therapist for a long time and have seen repeatedly how people who are married with kids by age 30 start having problems by their midthirties  Second respect your unique identity nbspFor whatever reason you have more sensitivity possibly more depth more complex standards and expectations of yourself and others  As hard as it may sound or actually be take time to hear your intuition and what it tells you you need for your own growth and development  Feeling embarrassed can also be turned into a positive nbspConsider it as motivation for the long term to develop new ways of reaching your goals  I hope this helps  br 
Ive been having this ongoing problem for most of my life now I am a young adult and right now driving and even being a passenger gives me terrible panic attacks and anxiety I cant ride in the backseat or the front seat with the safety belt on I have to lean the seat back a bit because the pressure on my back terrifies me I miss so many opportunities to go places with friends and family because of my fears of having a panic attack My family offers little to no support They think its fake or all in my head It makes me feel guilty and at times depressed to the point where Id rather never wake up anymore I am not selfharming I just feel meaningless This constant fear has taken over my thoughts and my life I was such a happy person I want my life back I want to travel with my friends and family again but I dont know how Ive almost given up hope on getting better and just accepting the fact that Ill live with this anxiety forever, Not having support from your family for such a significant problem is a problem itself  How about your friends are any of them nurturing or treat you kindly when you bring up that youve got this problem  Are any of your friends willing to accommodate the fact that right now youve got panic attacks from driving and being a passenger  Maybe being and feeling accepted while youre in this current phase of your life would help diminish the panic attacks  If no support is coming to you then a next step would be to evaluate the relationships in your life and to develop standards and expectations of others especially that they are considerate of your great need at this time  Its possible you are bearing the emotional burden of a lot more people in your life than yourself  If no one wants to show they care about this situation then release yourself from trying to please and satisfy everyones wish that you be better while they ignore your need for their support  Be realistic in what youre able to give back to people who want to be blind to your emotional need  Thinking this way will at first raise your anxiety level from fear of losing everyone nbspEventually youll stabilize within yourself and know that all youre asking for is some support for having a tough timenbsp  Hopefully the others will be more responsive to you  If they dont you still know that youre being reasonable for what youd like 
My husband has had issues with alcohol addiction in the past hed never admit to this A while back 3 years ago I asked him to stop drinking so much and he agreed I caught him one night drinking behind my back I confronted him and he lied but I told him I knew he was lying because I counted the beers in the fridge and four of them were missing He admitted and apologized and promised he wouldnt do it again Lately my husband has been drinking on and off but I noticed it was every single night I didnt like this For our New Years resolution we decided we were going to limit our alcohol consumption He was on boardno more drinking every night  The other night I counted the beers in the fridge just to see if some were missing It took a couple of days but tonight I discovered a few were missing along with a shot of vodka He was passed out on the couch when I decided to wake him up and confront him poor timing but I couldnt wait I asked him if hed come to bed with me when he drinks he snores and I cannot sleepits a dead giveaway hes been drinking He slurred a bit and said no I asked if he had been drinking but he snapped and said no I went into our room to sleep leaving him on the couch   Im not sure if Im overreacting or not I just feel like Im so honest with him about everything and I expect the same honesty He is a good husband in every other regard, As exasperated as you feel and as obvious it is to you that your husband cares more about drinking than being honest with you changing this is up to him  Does he care that youre upset with him for drinking more than he can handle  Does he care about you more than drinking  Living with an alcoholic which is how his behavior sounds is lonely and frustrating  Concentrate on what you like about him as he is now with his drinking  Your happiness matters nbspHis ignoring of what youre talking about doesnt mean your requests are unreasonable  span stylewebkittextsizeadjust 100Be prepared to learn to live with and accept how he behaves or notspanbr  span stylewebkittextsizeadjust 100Avoid the expectation that you can convince him to changespan  span stylewebkittextsizeadjust 100People change only when they realize their life can improve by changing nbspHe doesnt sound like this at least nowspan  br 
My supposetobe father told me to go find my real dad We havent been getting along since I was a teenager If I said one thing that he thought was wrong I always got degraded He never said I love you He never gave us hugs Hes always called me horrible names I feel hes an evil man with no feelings, Hi Louisiana You got it righthes supposed to be your father Its tough enough being adopted unless Im reading it wrong I think youre adopted what you dont need is to be verbally abused by someone whos supposed to love and protect you I dont know how old you are past teen years though or where your mom is but I bet there are other people in your life who treat you differently Its your right to spend your time with the people who love you properly Thats a really important part of learning how to be happycarefully choosing whos going to be in your life Its tricky to put emotional distance between you and your supposedtobe father but its possiblephysical distance avoid him if you dont trust youll be treated with respect and emotional distance feeling less connected to and affected by his relationship disability I think youre already doing that part because you dont blame yourself for his words which is wonderful I dont know if hes evil although I believe evil exists but he may be incapable of loving properly or lacking empathy as you suggestnbsp  A good therapist can support you in these goals I wish you the best in your growth as an independent adult  
I keep being mean to my best friend and I dont know why all the time I did come to maybe some kind of conclusion that it is because my mother is mean to me all the time Could that be a cause, Hi Morristown  Theres a saying that goes hurt people hurt people Its possible that your aggression towards your friends is connected to your mothers behaviours When we are treated poorly especially as children it affects how we ourselves others and the world Its also powerful modelling of aggressive behaviournbsp  The good news is that you have this lovely awareness and I think a desire to learn about yourself and grow in your ability to be respectful to people you care about I recommend you consider sitting down with a therapist and exploring these ideas and moving forward on that path you seem to want to be on Good luck 
Ive got so much anger I dont know how to control myself My girlfriend screams at me all the time and sometime I dont know how to deal with life Im very depressed and angry I feel lost, Hi Campbell Rivernbsp  span stylelineheight 142857You say you have anger but you dont mention how it shows Or maybe it doesnt Are you aggressive with your girlfriend Since you mention depression I wonder if youre bottling it all up somewhere instead of letting it show at all If this is the case I admire your ability to not lash out at someone whos hurting you However if they are totally nbspunexpressed aspannger span stylelineheight 142857turn inward and shift into depression When shenbspyells at you what do you do Is this the moment that you feel the most angry I wouldnt be surprised anger is a normal response to someone yelling at younbspspanbr  span stylelineheight 142857Something about angerits often there to cover up our more vulnerable emotions Under the anger I wonder if you feel worthless powerless scared unloved Part of the trick to reducing anger is identifying those other emotions and expressing themnbspspanspan stylelineheight 142857You say you dont know how to deal with life and I think maybe you mean you dont know how to deal with emotions Lots of people dont This is confusing for most of us What am I feeling Why is it so strong Im afraid to express it for fear of hurting someone or falling apart or feeling alone How do I know what to express and what to be quiet aboutnbspspanbr  These are all great questions to ask yourself and a qualified therapist can help you sort it all out and support you in your growth I wish you well 
Ive been getting told lately by my partner that its embarrassing that Im so antisocial around his family and friends I believe its because Im not as social as him, Hi Buffalo I think youre right your partners reactions are about him I have to say its a cruel thing to say to someone you lovethat youre embarrassed by them The subtext says Youre not good enough and I love that you can reject that false message  You dont have to be different for anyone If he cant accept you for who you are what is he doing with you Your social habits unless they are extremelike you refuse to go anywhere arent a reflection on him its just you being you Also and Im sure youve found thisthe more he judges you the more difficult it is for you to be the confident outgoing person he wants you to beso his method of trying to change you doesnt even work  I think thats the cruxhes trying to change you What does that make you want to donbsp 
I met a guy a while ago and I cant stop thinking about him I feel like I love him but I dont think I know him What if he is not who I think he is I cry sometimes thinking someone is going to be with him or that he has a girlfriend I dont know am I too obsessive Every time we talk though its like magic He makes me feel amazing but what if Im mistaken, Keller it sounds like youre living this relationship in your mind instead of in the real world You can get answers to your questions by talking to himgetting to know him will answer all the curiosities you have Youre asking the questions in your head instead of being in the friendshipnbsp  So what is it that gets in the way of actually asking the questions and getting to know him Fear of rejection Fear of something else If you have fear that keeps you from having fulfilling friendships I recommend a therapist to help you work through that I wish you well  
A girl and I were madly in love We dated for over a year and were even talking about marriage and future plans together She moved away for school and we attempted a long distance relationship We eventually broke up Its been a year now and I still havent lost my feelings for her I still love her the same way I did Ive suffered from depression ever since the breakup and have been unable to connect with anyone else Its damaging me and my life, Hi Boise Im sorry that youve lost this love The fact that you were planning marriage and a future tells me that you meant something very special to each other at that time Its different nowyoure not together anymore but you cant accept this right Good for you for identifying that this situation is damaging your life Youve been grieving for longer than you were together Oh but really youve not been grievingyoure stuck still loving her instead of moving forward Unrequited love is a recipe for eternal heartache Lets look at some possible blocks to moving forward  It could be that theres something unfinished for you Maybe you felt hurt and you didnt have the chance to say so or you felt you hurt her and you didnt have the chance to make it right Maybe theres a burning question you need to ask or something else you need to say Maybe you want to tell her youve never stopped loving her and see if she feels the same way If this is the case you have two choices right You can reach out and say what you need to say or you can stop ruminating on that question and let it go If you reach out theres no guarantee it will go well or that shell even respond Maybe write her a letter and dont send it or send itit might be worth the risk Use the next paragraph to help you decidenbsp  Do you know how she feels How did it end Did she end it Was it ended just because of the distance or are there more differences between you that didnt work Sometimes people are so in love that they cant clearly see that the other person isnt in love with them anymore Use the information you have about what she wants for her lifecan you honour what she says she needs If shes asked for distance you would do well to honour that  span stylelineheight 142857A key to moving forward look at your thoughts and where theyre getting stuck Write it down What bad thing can happen if you let it go Or If I move forward that will mean nbspKeep goingwhat would be the worst part of that nbspThis kind of exploring can help you identify your stuck placespan  It is possible that youve turned this ending into some kind of negative meaning about you or your future As in If this person doesnt love me then Im unlovable or No one will ever love me as much as she did So your need to cling to her in your heart is your way of rejecting that negative message about yourself or the future Can you find another way to reject that message Try saying these things to yourself ulliI know she loved me There is evidence of thatliliI was a good partner There is evidence of thatliliIts part of life to fall in love and then have to move forwardI can do this and learn from itliliMany people like methats how I know Im lovableliliIts normal to feel sad Im grieving a lost loveliliI want to move forward and not stare in the rearview mirrorliliI know more love awaits me if I can get fear out of the wayliliIf this person loved me others can too but not if Im clinging to some old memoryliuldivThese are the kinds of things a therapist would explore with you I wish you welldivdivbrdiv
I would like to be able to have more positive relationships in the present, Hi Chapel Hillnbsp  I like your goal research is telling us more and more that one of the most important keys to happiness is having healthy relationships If we feel successful in that area it can give us the confidence and hope to tackle anything life throws at us  There are personal barriers we all have to having healthy relationships its our stuff our baggage not a steam trunk rightyou have a cute little Gucci bagnbsp  You hint that people may have hurt you in the past Maybe fear says stay awayhold onto resentment or you will be hurt again Resentment or simply focusing on the past is certainly a barrier to improving any relationship Learning to forgive ourselves and others is so important And rememberforgiveness isnt about saying something was okay it only means It happened I cant change that and I dont want to carry it anger hurt resentment around anymore so I let it go  span stylecolor rgb0 0 0 fontfamily Open Sans Helvetica Neue Helvetica Arial sansserif fontsize 14px fontstyle normal fontvariant normal fontweight normal letterspacing normal lineheight 20px orphans auto textalign start textindent 0px texttransform none whitespace normal widows 1 wordspacing 0px webkittextstrokewidth 0px display inline important float none backgroundcolor rgb255 255 255span classAppleconvertedspacenbspspanspanOrsometimes fear tells us that people wont accept us this keeps us isolated for sure But really all fear wants is power over usnbspFear is a trickster It tells us that if we let go of the past we will be rejected or hurt It says Im trying to protect you but what it REALLYnbspwants is to paralyze and isolate us all so it can feel powerful Once you pull thenbspsheeps clothing off of fear you can see that it doesnt help you at all  Once you see where your personal barriers are and you start to refute those thoughts in your mind you can begin to build new ideas about yourself and other people that are based on compassion instead of fearnbsp ulliEveryone deserves forgiveness and compassionliliNo one deserves to be judged by their worst momentsliliIf I look in the rearview mirror I cant move forwardliliWe are all beautifully imperfectliliI cant change the past but I have the power to make the future goodliuldivI wish you the best on your journeydiv br 
My fianc and I have almost the best relationship every girl wants but lately its changed I get less attention and little to no intercourse He works a lot and goes to the gym a lot hes a football player for an indoor league but he has no time for me We live two hours from family and when I leave home to see family hell text me saying whatever and leave me alone But when were together everything is okay No fighting or anything I love this man but I just dont know what to do anymore, Hi Rockford While no relationship is perfect and its natural for the passionate beginnings of a relationship to lessen with time because we have established the trust and love needed as a foundation and we dont have to smother each other with attention anymore your situation sounds like something differentnbsp  He has no time for me yet you dont fight HmmmIs it that you dont fight because you dont bring up whats bothering you Are you avoiding conflict Many people do What do you fear would happen if you let him know how you feel about his recent pulling away As an engaged couple now is a really good time to see what happens when you bring a concern to your fiance Better to find out now what happens when you rock the boat by being real Or maybe you have spoken to him about it If so what happens Does he listen and help you understand him better Or does he avoid and reassure youor maybe dismiss you This is really important data to gather about how your fiance handles conflict and how you work togethernbsp  He says leave me alone Thats a pretty bold statement about what he wants He doesnt seem to have the same idea that you do about what marriage is and how close you want to be Plus I have to say those words sound more like what a closedoff fourteen year old would say to a parent than a loving fiance to his bride to benbsp  Giving him the benefit of the doubt it could be that your fiance is scared about getting married and this is a temporary reaction that will change But if this is true he needs to tell you that so you can understandnbsp  So I suggest that the fact that when youre together youre okay is perhaps not the best barometer for how youre doing as a couple Listen to your gut I encourage you to be really open with your fiance about what your feelings and fears are This may get rockier before it gets better but until you face whats not working you wont know who you truly are as a couple nbsp  When youre engaged its a really cool time to see a therapist tooto get some conflict resolution skills down before youre a married couplenbsp 
